iter	Passed	Remaining
0	2	240
1	4	218
2	7	229
3	8	207
4	10	199
5	12	192
6	13	183
7	15	175
8	16	168
9	18	163
10	19	160
11	21	157
12	23	154
13	24	152
14	26	151
15	28	148
16	29	145
17	31	143
18	33	141
19	34	139
20	36	137
21	37	134
22	39	131
23	40	129
24	42	127
25	43	124
26	45	122
27	47	121
28	48	119
29	50	117
30	51	115
31	53	113
32	55	112
33	57	111
34	59	110
35	60	108
36	62	106
37	64	104
38	65	102
39	67	101
40	69	100
41	70	97
42	72	95
43	74	94
44	76	93
45	78	91
46	80	90
47	82	89
48	84	87
49	86	86
50	88	84
51	89	82
52	91	81
53	93	79
54	94	77
55	96	75
56	98	74
57	100	72
58	102	70
59	103	69
60	105	67
61	107	65
62	108	63
63	110	62
64	112	60
65	114	59
66	117	57
67	119	56
68	121	54
69	123	53
70	125	51
71	128	49
72	130	48
73	132	46
74	134	44
75	136	43
76	139	41
77	145	40
78	148	39
79	151	37
80	153	36
81	156	34
82	158	32
83	161	30
84	165	29
85	167	27
86	170	25
87	173	23
88	176	21
89	179	19
90	183	18
91	186	16
92	189	14
93	192	12
94	194	10
95	197	8
96	200	6
97	203	4
98	207	2
99	211	0
